Compresa,Particella,Area saggio,n,poll,D(cm),Classe diametrica,h(m),Genere,Fustaia,G(m2),V(m3),Ipr(mm),c(1/a),Pv(%/a),PvxV(m3/a)
Capistrano,1,9,16,,40,8,21.679000,Abete,True,0.130000,1.326530,30.000000,200.000000,3.000000,0.050000
Capistrano,1,9,17,,42,8,24.883000,Pino Nero,True,0.140000,1.568843,25.000000,200.000000,2.380000,0.040000
Capistrano,1,9,18,,46,9,25.658000,Pino Nero,True,0.170000,1.928295,25.000000,200.000000,2.170000,0.050000
Capistrano,1,9,19,,34,7,23.083000,Pino Nero,True,0.090000,0.969944,25.000000,200.000000,2.940000,0.040000
Capistrano,1,9,20,,20,4,27.000000,Douglas,True,0.030000,0.376482,25.000000,200.000000,5.000000,0.020000
Capistrano,1,9,21,,22,4,19.376000,Pino Nero,True,0.040000,0.356188,25.000000,200.000000,4.550000,0.020000
Capistrano,1,9,22,,32,6,22.567000,Pino Nero,True,0.080000,0.844538,25.000000,200.000000,3.130000,0.030000
Capistrano,1,9,23,,31,6,22.296000,Pino Nero,True,0.080000,0.785365,25.000000,200.000000,3.230000,0.030000
Capistrano,1,9,24,,21,4,18.979000,Pino Nero,True,0.030000,0.319556,25.000000,200.000000,4.760000,0.020000
Capistrano,1,9,25,,37,7,23.803000,Pino Nero,True,0.110000,1.176092,25.000000,200.000000,2.700000,0.040000
Capistrano,1,9,26,,39,8,24.252000,Pino Nero,True,0.120000,1.325769,25.000000,200.000000,2.560000,0.040000
Capistrano,1,9,27,,36,7,23.570000,Pino Nero,True,0.100000,1.104963,25.000000,200.000000,2.780000,0.040000
Capistrano,1,9,28,,41,8,27.000000,Douglas,True,0.130000,1.555307,30.000000,200.000000,2.930000,0.050000
Capistrano,1,9,29,,37,7,23.803000,Pino Nero,True,0.110000,1.176092,25.000000,200.000000,2.700000,0.040000
Capistrano,1,9,30,,39,8,24.252000,Pino Nero,True,0.120000,1.325769,25.000000,200.000000,2.560000,0.040000
Capistrano,1,9,31,,39,8,24.252000,Pino Nero,True,0.120000,1.325769,25.000000,200.000000,2.560000,0.040000
Capistrano,1,9,32,,40,8,24.467000,Pino Nero,True,0.130000,1.404268,25.000000,200.000000,2.500000,0.040000
Capistrano,1,9,33,,36,7,23.570000,Pino Nero,True,0.100000,1.104963,25.000000,200.000000,2.780000,0.040000
Capistrano,1,9,34,,26,5,27.000000,Douglas,True,0.050000,0.632265,30.000000,200.000000,4.620000,0.030000
Capistrano,10a,34,25,,63,12,28.336000,Pino Nero,True,0.310000,3.923523,25.000000,200.000000,1.590000,0.050000
Capistrano,10a,34,26,,49,10,26.196000,Pino Nero,True,0.190000,2.224817,25.000000,200.000000,2.040000,0.040000
Capistrano,10a,34,27,,59,12,27.778000,Pino Nero,True,0.270000,3.384401,25.000000,200.000000,1.690000,0.050000
Capistrano,10a,34,28,,57,11,27.484000,Pino Nero,True,0.260000,3.131078,25.000000,200.000000,1.750000,0.050000
Capistrano,10a,34,29,,59,12,27.778000,Pino Nero,True,0.270000,3.384401,25.000000,200.000000,1.690000,0.050000
Capistrano,10a,34,30,,14,3,15.526000,Pino Nero,True,0.020000,0.121029,25.000000,200.000000,7.140000,0.010000
Capistrano,10a,34,31,,11,2,13.472000,Pino Nero,True,0.010000,0.065041,25.000000,200.000000,9.090000,0.000000
Capistrano,10a,34,32,,35,7,23.330000,Pino Nero,True,0.100000,1.036247,25.000000,200.000000,2.860000,0.030000
Capistrano,10a,34,33,,27,5,21.120000,Pino Nero,True,0.060000,0.572039,25.000000,200.000000,3.700000,0.020000
Capistrano,10a,34,34,,24,5,20.117000,Pino Nero,True,0.050000,0.435906,25.000000,200.000000,4.170000,0.020000
Capistrano,10a,34,35,,32,6,22.567000,Pino Nero,True,0.080000,0.844538,25.000000,200.000000,3.130000,0.030000
Capistrano,10a,34,36,,28,5,21.430000,Pino Nero,True,0.060000,0.621930,25.000000,200.000000,3.570000,0.020000
Capistrano,10a,34,1,1,6,1,6.000000,Castagno,False,0.000000,0.010357,28.000000,200.000000,18.670000,0.000000
