Compresa,Particella,CP,Area (ha),Comparto,Governo,Raggio di saggio (m),AdS / ha,G medio saggi,No. fustaia,No. ceduo,m3 medio saggi,Età media,G/ha nuovo,G/ha vecchio,G particella nuovo,G particella vecchio,m3/ha nuovo,m3/ha vecchio,m3 tot nuovo,m3 tot vecchio,Pv med nuovo,Inc m3 %,pv : inc m3,Pv med vecchio,Incr/ha nuovo,Incr/ha vecchio,Incr tot nuovo,Incr tot vecchio,Ic/ha nuovo,Ic/ha vecchio,Ic tot nuovo,Ic tot vecchio,Prelievo %,Prelievo totale,Prelievo% Marco Malvaso,Provv minima',Provv minima Roberto,Prelievo % Roberto,Prelievo totale Roberto,mc/ha Roberto,Rapporto %,Rapporto mc
Capistrano,3,Capistrano-3,20.60,D,Fustaia,20,8,3.20,4340,0,41.84,61,25.62,33.00,527.85,670.00,334.74,345.01,6895.74,7107.24,3.51,2.77,0.79,3.11,5.49,7.00,113.04,144.00,11.76,10.71,242.30,220.71,10.00,689.57,,250.00,,10.00,689.52,-0.03,1.00,1.00
Fabrizia,3,Fabrizia-3,32.47,E,Fustaia,20,8,7.54,12728,0,104.64,67,60.33,33.00,1958.92,1060.00,837.10,372.20,27180.63,12096.62,2.60,2.03,0.78,2.46,12.49,6.81,405.68,221.51,21.73,9.15,705.61,297.43,25.00,6795.16,,350.00,,25.00,6794.67,-0.06,1.00,1.00
Serra,3,Serra-3,18.90,B,Fustaia,20,8,4.70,8996,0,62.10,78,37.64,32.00,711.37,603.00,496.81,413.28,9389.80,7810.99,4.03,2.85,0.71,3.24,6.37,6.68,120.38,126.41,20.00,13.41,378.08,253.44,15.00,1408.47,,350.00,,20.00,1877.96,0.00,1.33,1.33
Fabrizia,4,Fabrizia-4,27.10,E,Fustaia,20,8,5.10,11490,0,71.05,62,40.77,34.00,1104.82,891.00,568.44,386.68,15404.66,10150.44,2.81,2.55,0.91,2.49,9.17,7.71,248.46,202.62,15.99,9.61,433.20,252.35,20.00,3080.93,,350.00,,20.00,3080.73,-0.04,1.00,1.00
Serra,4,Serra-4,14.10,A,Fustaia,20,8,10.13,4286,0,162.05,88,81.02,45.00,1142.43,629.00,1296.37,582.00,18278.86,8207.88,3.08,2.37,0.77,2.81,14.73,7.70,207.71,108.59,39.90,16.34,562.60,230.44,25.00,4569.71,,350.00,,25.00,4569.81,0.03,1.00,1.00
Capistrano,4a,Capistrano-4a,6.70,C,Fustaia,20,8,3.46,1179,0,41.46,67,27.64,34.00,185.19,229.00,331.68,374.65,2222.27,2510.18,2.90,2.72,0.94,2.91,4.95,6.81,33.17,45.65,9.62,10.91,64.47,73.12,10.00,222.23,,250.00,,10.00,222.23,0.00,1.00,1.00
Capistrano,4b,Capistrano-4b,9.69,F,Ceduo,20,8,0.42,0,6822,1.55,3,3.37,0.00,32.66,0.00,12.38,12.00,119.92,116.28,2.00,2.00,1.00,50.00,4.13,4.00,39.97,38.76,0.25,10.91,2.40,73.12,,,,ceduo,,,,,,
Serra,5,Serra-5,21.60,B,Fustaia,20,8,4.88,6509,0,72.66,70,39.00,35.00,842.41,745.00,581.29,440.64,12555.86,9517.78,4.16,2.56,0.62,3.23,8.30,7.55,179.37,163.28,24.16,14.24,521.93,307.61,20.00,2511.17,,350.00,,15.00,1883.35,-0.01,0.75,0.75
Capistrano,5a,Capistrano-5a,11.33,C,Fustaia,20,8,4.56,2538,0,61.56,67,36.45,34.00,413.02,381.00,492.46,353.11,5579.59,4000.73,2.76,2.62,0.95,2.77,7.35,6.38,83.28,72.15,13.60,9.77,154.06,110.70,25.00,1394.90,,250.00,,25.00,1394.95,0.02,1.00,1.00
Fabrizia,5a,Fabrizia-5a,25.19,E,Fustaia,20,8,5.48,7255,0,71.23,69,43.84,32.00,1104.24,209.00,569.87,363.27,14355.07,2386.26,2.71,1.74,0.64,2.43,8.26,6.40,208.04,42.06,15.43,8.82,388.62,57.94,20.00,2871.01,,350.00,,20.00,2863.60,-1.47,1.00,1.00
Capistrano,5b,Capistrano-5b,5.12,F,Ceduo,20,8,0.39,0,3666,1.49,3,3.11,0.00,15.92,0.00,11.94,26.00,61.15,133.12,2.00,2.00,1.00,26.92,3.98,6.00,20.38,30.72,0.24,7.00,1.22,35.84,,,,ceduo,,,,,,
Fabrizia,5b,Fabrizia-5b,2.73,F,Ceduo,20,8,0.44,0,2326,1.37,3,3.52,13.00,9.62,260.00,10.99,122.33,30.00,2474.86,2.00,2.00,1.00,8.48,3.66,12.23,10.00,247.48,0.22,10.38,0.60,209.93,,,,ceduo,,,,,,
Fabrizia,6,Fabrizia-6,11.52,E,Fustaia,20,8,6.14,5100,0,79.79,61,49.08,34.00,565.43,397.00,638.29,383.51,7353.15,4502.36,2.85,2.36,0.83,2.56,10.46,7.88,120.54,92.53,18.16,9.80,209.24,115.05,25.00,1838.29,,350.00,,15.00,1108.41,3.15,0.60,0.60
Serra,6,Serra-6,10.10,B,Fustaia,20,8,7.13,3151,0,99.58,73,57.05,54.00,576.20,542.00,796.64,700.50,8046.07,7075.00,3.54,2.57,0.72,3.07,10.91,11.49,110.22,116.07,28.22,21.54,285.01,217.53,25.00,2011.52,,350.00,,25.00,2011.52,0.00,1.00,1.00
Capistrano,6a,Capistrano-6a,13.86,B,Fustaia,20,8,4.27,3825,0,55.75,62,34.20,39.00,473.99,535.00,445.97,430.72,6181.12,5969.76,2.81,2.15,0.77,3.09,7.19,3.09,99.70,120.48,12.52,13.31,173.50,184.49,10.00,618.11,,350.00,,15.00,813.97,-54.45,1.50,1.32
Capistrano,6b,Capistrano-6b,6.00,F,Ceduo,20,8,0.43,0,4176,1.67,3,3.41,0.00,20.44,0.00,13.37,26.00,80.21,156.00,2.00,2.00,1.00,26.92,4.46,6.00,26.74,36.00,0.27,7.00,1.60,42.00,,,,ceduo,,,,,,
Serra,7,Serra-7,22.84,B,Fustaia,20,8,6.96,10537,0,109.52,63,55.67,30.00,1271.46,682.00,876.13,380.58,20010.87,8696.23,4.43,4.02,0.91,3.48,13.91,7.51,317.63,171.78,38.85,13.25,887.26,302.85,25.00,5002.72,,350.00,,25.00,4987.34,-2.69,1.00,1.00
Capistrano,7a,Capistrano-7a,1.20,C,Fustaia,20,8,2.81,211,0,37.41,66,22.47,21.00,26.96,25.00,299.27,229.97,359.13,275.96,3.38,1.86,0.55,3.02,4.53,4.29,5.44,5.15,10.11,6.96,12.13,8.35,0.00,0.00,,250.00,,0.00,0.00,,1.00,1.00
Fabrizia,7a,Fabrizia-7a,12.57,E,Fustaia,20,8,5.16,6034,0,61.70,68,41.26,38.00,518.59,489.00,493.61,415.66,6204.67,5403.60,2.90,2.53,0.87,2.49,7.26,7.43,91.25,96.71,14.30,10.37,179.78,134.77,15.00,930.70,,350.00,,15.00,930.68,-0.01,1.00,1.00
Capistrano,7b,Capistrano-7b,6.05,F,Ceduo,20,8,0.53,0,4550,2.12,3,4.22,0.00,25.51,0.00,16.96,12.00,102.62,72.60,2.00,2.00,1.00,50.00,5.65,4.00,34.21,24.20,0.34,6.00,2.05,36.30,,,,ceduo,,,,,,
Fabrizia,7b,Fabrizia-7b,1.30,F,Ceduo,20,8,0.43,0,1154,1.29,3,3.45,34.00,4.49,216.00,10.36,66.00,13.46,421.08,2.00,2.00,1.00,16.67,3.45,9.42,4.49,60.15,0.21,11.00,0.27,70.18,,,,ceduo,,,,,,
Fabrizia,8,Fabrizia-8,14.17,B,Fustaia,20,8,7.06,6575,0,88.74,71,56.51,37.00,800.81,528.00,709.91,411.47,10059.39,5842.92,2.55,1.92,0.75,2.31,10.00,9.50,141.68,134.66,18.10,9.50,256.51,134.66,25.00,2514.85,,350.00,,25.00,2514.61,-0.07,1.00,1.00
Serra,8,Serra-8,35.90,B,Fustaia,20,8,7.42,11584,0,108.69,85,59.37,43.00,2131.30,1550.00,869.49,562.04,31214.65,20177.34,3.08,2.55,0.83,2.72,10.23,7.74,367.23,278.09,26.79,15.27,961.92,548.08,25.00,7803.66,,350.00,,25.00,7803.94,0.03,1.00,1.00
Capistrano,8a,Capistrano-8a,3.00,C,Fustaia,20,8,2.65,528,0,35.13,63,21.20,16.00,63.61,47.00,281.00,164.71,843.01,494.14,3.01,2.72,0.90,3.03,4.46,3.20,13.38,9.60,8.45,5.00,25.36,14.99,0.00,0.00,,250.00,,0.00,0.00,,1.00,1.00
Capistrano,8b,Capistrano-8b,13.20,F,Ceduo,20,8,0.50,0,11088,1.94,3,4.01,0.00,52.91,0.00,15.49,17.00,204.48,224.00,2.00,2.00,1.00,38.24,5.16,5.00,68.16,66.00,0.31,6.50,4.09,85.80,,,,ceduo,,,,,,
Serra,9,Serra-9,31.94,B,Fustaia,20,8,7.04,11754,0,121.02,85,56.36,28.00,1800.07,889.00,968.14,356.73,30922.38,11393.96,3.60,2.53,0.70,2.87,11.39,5.09,363.79,162.75,34.89,10.25,1114.52,327.35,25.00,7730.60,,350.00,,25.00,7730.76,0.02,1.00,1.00
Capistrano,9a,Capistrano-9a,3.00,D,Fustaia,20,8,1.62,576,0,21.35,49,12.93,25.00,38.80,76.00,170.81,263.23,512.44,789.68,3.82,3.57,0.93,3.21,3.49,5.60,10.46,16.80,6.53,8.45,19.59,25.34,0.00,0.00,,250.00,,10.00,51.24,-0.01,+10,+51.24
Fabrizia,9a,Fabrizia-9a,14.41,B,Fustaia,20,8,4.33,3074,0,55.24,80,34.62,46.00,498.87,711.00,441.90,503.26,6367.82,7800.47,2.67,1.78,0.67,2.14,5.52,7.40,79.60,115.43,11.80,10.79,169.98,167.31,10.00,636.78,,350.00,,10.00,6366.91,3976.49,1.00,10.00
Capistrano,9b,Capistrano-9b,9.50,F,Ceduo,20,8,0.41,0,7220,1.56,3,3.30,0.00,31.36,0.00,12.45,48.00,118.29,456.00,2.00,2.00,1.00,16.67,4.15,6.85,39.43,65.08,0.25,8.00,2.37,76.00,,,,ceduo,,,,,,
Fabrizia,9b,Fabrizia-9b,5.93,F,Ceduo,20,8,0.47,71,5147,1.43,3,3.79,10.00,22.48,80.00,11.45,55.00,67.91,446.60,2.00,2.00,1.00,20.00,3.82,9.16,22.64,74.43,0.23,11.00,1.36,89.32,,,,ceduo,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213453.69,,,,,237092.24,,,
