Compresa,Particella,Area saggio,n,poll,D(cm),Classe diametrica,h(m),Genere,Fustaia,G(m2),V(m3),Ipr(mm),c(1/a),Pv(%/a),PvxV(m3/a)
Capistrano,1,9,2,,46,9,25.657722,Pino Nero,True,0.170000,1.928275,25.000000,200.000000,2.170000,0.050000
Capistrano,1,9,3,,41,8,24.677665,Pino Nero,True,0.130000,1.485309,25.000000,200.000000,2.440000,0.040000
Capistrano,1,9,4,,40,8,27.361567,Douglas,True,0.130000,1.500456,25.000000,200.000000,2.500000,0.040000
Capistrano,1,9,5,,50,10,26.367891,Pino Nero,True,0.200000,2.328843,25.000000,200.000000,2.000000,0.050000
Capistrano,1,9,6,,49,10,26.195823,Pino Nero,True,0.190000,2.224802,25.000000,200.000000,2.040000,0.050000
Capistrano,1,9,7,,39,8,26.963554,Douglas,True,0.120000,1.406979,30.000000,200.000000,3.080000,0.050000
Capistrano,1,9,8,,35,7,23.330055,Pino Nero,True,0.100000,1.036249,25.000000,200.000000,2.860000,0.040000
Capistrano,1,9,9,,38,7,24.030485,Pino Nero,True,0.110000,1.249701,25.000000,200.000000,2.630000,0.040000
Capistrano,1,9,10,,27,5,21.119772,Pino Nero,True,0.060000,0.572034,25.000000,200.000000,3.700000,0.030000
Capistrano,1,9,11,,39,8,24.251721,Pino Nero,True,0.120000,1.325755,25.000000,200.000000,2.560000,0.040000
Capistrano,1,9,12,,40,8,24.467355,Pino Nero,True,0.130000,1.404287,25.000000,200.000000,2.500000,0.040000
Capistrano,1,9,13,,38,7,24.030485,Pino Nero,True,0.110000,1.249701,25.000000,200.000000,2.630000,0.040000
Capistrano,1,9,14,,27,5,21.119772,Pino Nero,True,0.060000,0.572034,25.000000,200.000000,3.700000,0.030000
Capistrano,1,9,15,,42,8,24.882906,Pino Nero,True,0.140000,1.568838,25.000000,200.000000,2.380000,0.040000
Capistrano,1,9,16,,40,8,21.678736,Abete,True,0.130000,1.326514,30.000000,200.000000,3.000000,0.050000
Capistrano,1,9,17,,42,8,24.882906,Pino Nero,True,0.140000,1.568838,25.000000,200.000000,2.380000,0.040000
Capistrano,1,9,18,,46,9,25.657722,Pino Nero,True,0.170000,1.928275,25.000000,200.000000,2.170000,0.050000
Capistrano,1,9,19,,34,7,23.083165,Pino Nero,True,0.090000,0.969950,25.000000,200.000000,2.940000,0.040000
Capistrano,1,9,20,,20,4,16.464808,Douglas,True,0.030000,0.235972,25.000000,200.000000,5.000000,0.020000
Capistrano,1,9,21,,22,4,19.375518,Pino Nero,True,0.040000,0.356181,25.000000,200.000000,4.550000,0.020000
Capistrano,1,9,22,,32,6,22.566819,Pino Nero,True,0.080000,0.844532,25.000000,200.000000,3.130000,0.030000
Capistrano,1,9,23,,31,6,22.296412,Pino Nero,True,0.080000,0.785378,25.000000,200.000000,3.230000,0.030000
Capistrano,1,9,24,,21,4,18.979302,Pino Nero,True,0.030000,0.319560,25.000000,200.000000,4.760000,0.020000
Capistrano,1,9,25,,37,7,23.803349,Pino Nero,True,0.110000,1.176108,25.000000,200.000000,2.700000,0.040000
Capistrano,1,9,26,,39,8,24.251721,Pino Nero,True,0.120000,1.325755,25.000000,200.000000,2.560000,0.040000
Capistrano,1,9,27,,36,7,23.569989,Pino Nero,True,0.100000,1.104963,25.000000,200.000000,2.780000,0.040000
Capistrano,1,9,28,,41,8,27.749752,Douglas,True,0.130000,1.597330,30.000000,200.000000,2.930000,0.050000
Capistrano,1,9,29,,37,7,23.803349,Pino Nero,True,0.110000,1.176108,25.000000,200.000000,2.700000,0.040000
Capistrano,1,9,30,,39,8,24.251721,Pino Nero,True,0.120000,1.325755,25.000000,200.000000,2.560000,0.040000
Capistrano,1,9,31,,39,8,24.251721,Pino Nero,True,0.120000,1.325755,25.000000,200.000000,2.560000,0.040000
Capistrano,1,9,32,,40,8,24.467355,Pino Nero,True,0.130000,1.404287,25.000000,200.000000,2.500000,0.040000
Capistrano,1,9,33,,36,7,23.569989,Pino Nero,True,0.100000,1.104963,25.000000,200.000000,2.780000,0.040000
Capistrano,1,9,34,,26,5,20.589358,Douglas,True,0.050000,0.487770,30.000000,200.000000,4.620000,0.030000
Capistrano,2,10,1,,42,8,24.882906,Pino Nero,True,0.140000,1.568838,25.000000,200.000000,2.380000,0.040000
Capistrano,2,10,2,,44,9,25.279122,Pino Nero,True,0.150000,1.743465,25.000000,200.000000,2.270000,0.050000
Capistrano,2,10,3,,44,9,25.279122,Pino Nero,True,0.150000,1.743465,25.000000,200.000000,2.270000,0.050000
Capistrano,2,10,4,,46,9,25.657722,Pino Nero,True,0.170000,1.928275,25.000000,200.000000,2.170000,0.050000
Capistrano,2,10,5,,39,8,24.251721,Pino Nero,True,0.120000,1.325755,25.000000,200.000000,2.560000,0.040000
Capistrano,2,10,6,,37,7,23.803349,Pino Nero,True,0.110000,1.176108,25.000000,200.000000,2.700000,0.040000
Capistrano,2,10,7,,29,6,21.728395,Pino Nero,True,0.070000,0.674090,25.000000,200.000000,3.450000,0.030000
Capistrano,2,10,8,,30,6,22.017138,Pino Nero,True,0.070000,0.728570,25.000000,200.000000,3.330000,0.030000
Capistrano,2,10,9,,42,8,24.882906,Pino Nero,True,0.140000,1.568838,25.000000,200.000000,2.380000,0.040000
Capistrano,2,10,10,,40,8,24.467355,Pino Nero,True,0.130000,1.404287,25.000000,200.000000,2.500000,0.040000
Capistrano,2,10,11,,36,7,23.569989,Pino Nero,True,0.100000,1.104963,25.000000,200.000000,2.780000,0.040000
Capistrano,2,10,12,,38,7,24.030485,Pino Nero,True,0.110000,1.249701,25.000000,200.000000,2.630000,0.040000
Capistrano,2,10,13,,24,5,20.116602,Pino Nero,True,0.050000,0.435899,25.000000,200.000000,4.170000,0.030000
Capistrano,2,10,14,,26,5,20.798334,Pino Nero,True,0.050000,0.524417,25.000000,200.000000,3.850000,0.030000
Capistrano,2,10,15,,34,7,23.083165,Pino Nero,True,0.090000,0.969950,25.000000,200.000000,2.940000,0.040000
Capistrano,2,10,16,,42,8,24.882906,Pino Nero,True,0.140000,1.568838,25.000000,200.000000,2.380000,0.040000
Capistrano,2,10,17,,28,5,21.429519,Pino Nero,True,0.060000,0.621918,25.000000,200.000000,3.570000,0.030000
Capistrano,2,10,18,,28,5,21.429519,Pino Nero,True,0.060000,0.621918,25.000000,200.000000,3.570000,0.030000
Capistrano,2,10,19,,34,7,23.083165,Pino Nero,True,0.090000,0.969950,25.000000,200.000000,2.940000,0.040000
Capistrano,2,10,20,,44,9,25.279122,Pino Nero,True,0.150000,1.743465,25.000000,200.000000,2.270000,0.050000
Capistrano,2,10,21,,19,4,18.126881,Pino Nero,True,0.030000,0.252664,25.000000,200.000000,5.260000,0.020000
Capistrano,2,10,22,,26,5,20.798334,Pino Nero,True,0.050000,0.524417,25.000000,200.000000,3.850000,0.030000
Capistrano,2,10,23,,46,9,25.657722,Pino Nero,True,0.170000,1.928275,25.000000,200.000000,2.170000,0.050000
Capistrano,2,10,24,,50,10,26.367891,Pino Nero,True,0.200000,2.328843,25.000000,200.000000,2.000000,0.050000
Capistrano,2,10,25,,38,7,24.030485,Pino Nero,True,0.110000,1.249701,25.000000,200.000000,2.630000,0.040000
Capistrano,2,10,26,,36,7,23.569989,Pino Nero,True,0.100000,1.104963,25.000000,200.000000,2.780000,0.040000
Capistrano,2,7,1,,48,9,26.020206,Pino Nero,True,0.180000,2.123369,25.000000,200.000000,2.080000,0.050000
Capistrano,2,7,2,,56,11,32.651146,Douglas,True,0.250000,3.474370,27.000000,200.000000,1.930000,0.060000
Capistrano,2,7,3,,44,9,25.279122,Pino Nero,True,0.150000,1.743465,25.000000,200.000000,2.270000,0.050000
Capistrano,2,7,4,,47,9,25.840892,Pino Nero,True,0.170000,2.024530,25.000000,200.000000,2.130000,0.050000
Capistrano,2,7,5,,44,9,22.348824,Abete,True,0.150000,1.652795,27.000000,200.000000,2.450000,0.050000
Capistrano,2,7,6,,48,9,26.020206,Pino Nero,True,0.180000,2.123369,25.000000,200.000000,2.080000,0.050000
Capistrano,2,7,7,,33,6,22.828905,Pino Nero,True,0.090000,0.906050,25.000000,200.000000,3.030000,0.030000
Capistrano,2,7,8,,32,6,22.566819,Pino Nero,True,0.080000,0.844532,25.000000,200.000000,3.130000,0.030000
Capistrano,2,7,9,,54,11,27.023376,Pino Nero,True,0.230000,2.771303,25.000000,200.000000,1.850000,0.060000
Capistrano,2,7,10,,37,7,23.803349,Pino Nero,True,0.110000,1.176108,25.000000,200.000000,2.700000,0.040000
Capistrano,2,7,11,,60,12,33.735763,Douglas,True,0.280000,4.114587,25.000000,200.000000,1.670000,0.060000
Capistrano,2,7,12,,50,10,26.367891,Pino Nero,True,0.200000,2.328843,25.000000,200.000000,2.000000,0.050000
Capistrano,2,7,13,,49,10,26.195823,Pino Nero,True,0.190000,2.224802,25.000000,200.000000,2.040000,0.050000
Capistrano,2,7,14,,15,3,10.000000,Faggio,True,0.020000,0.088483,30.000000,200.000000,8.000000,0.010000
