Compresa,Particella,Area saggio,n,poll,D(cm),Classe diametrica,h(m),Genere,Fustaia,G(m2),V(m3),Ipr(mm),c(1/a),Pv(%/a),PvxV(m3/a),,
Capistrano,1,9,25,,37,7,27,Pino Nero,TRUE,0.11,1.45,25,200,2.70,0.04,,
Capistrano,1,9,26,,39,8,27,Pino Nero,TRUE,0.12,1.61,25,200,2.56,0.04,,
Capistrano,1,9,27,,36,7,27,Pino Nero,TRUE,0.10,1.37,25,200,2.78,0.04,,
Capistrano,1,9,28,,41,8,27,Douglas,TRUE,0.13,1.78,30,200,2.93,0.05,,
Capistrano,1,9,29,,37,7,27,Pino Nero,TRUE,0.11,1.45,25,200,2.70,0.04,,
Capistrano,1,9,30,,39,8,27,Pino Nero,TRUE,0.12,1.61,25,200,2.56,0.04,,
Capistrano,1,9,31,,39,8,27,Pino Nero,TRUE,0.12,1.61,25,200,2.56,0.04,,
Capistrano,1,9,32,,40,8,27,Pino Nero,TRUE,0.13,1.70,25,200,2.50,0.04,,
Capistrano,1,9,33,,36,7,27,Pino Nero,TRUE,0.10,1.37,25,200,2.78,0.04,,
Capistrano,1,9,34,,26,5,27,Douglas,TRUE,0.05,0.72,30,200,4.62,0.03,,
Capistrano,10a,34,25,,63,12,22,Pino Nero,TRUE,0.31,3.43,25,200,1.59,0.05,,
Capistrano,10a,34,26,,49,10,22,Pino Nero,TRUE,0.19,2.07,25,200,2.04,0.04,,
Capistrano,10a,34,27,,59,12,22,Pino Nero,TRUE,0.27,3.01,25,200,1.69,0.05,,
Capistrano,10a,34,28,,57,11,22,Pino Nero,TRUE,0.26,2.81,25,200,1.75,0.05,,
Capistrano,10a,34,29,,59,12,22,Pino Nero,TRUE,0.27,3.01,25,200,1.69,0.05,,
Capistrano,10a,34,30,,14,3,10,Pino Nero,TRUE,0.02,0.08,25,200,7.14,0.01,,
Capistrano,10a,34,31,,11,2,10,Pino Nero,TRUE,0.01,0.05,25,200,9.09,0.00,,
Capistrano,10a,34,32,,35,7,22,Pino Nero,TRUE,0.10,1.06,25,200,2.86,0.03,,
Capistrano,10a,34,33,,27,5,22,Pino Nero,TRUE,0.06,0.63,25,200,3.70,0.02,,
Capistrano,10a,34,34,,24,5,20,Pino Nero,TRUE,0.05,0.45,25,200,4.17,0.02,,
Capistrano,10a,34,35,,32,6,22,Pino Nero,TRUE,0.08,0.88,25,200,3.13,0.03,,
Capistrano,10a,34,36,,28,5,22,Pino Nero,TRUE,0.06,0.68,25,200,3.57,0.02,,
Capistrano,10a,34,1,1,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,1,2,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
Capistrano,10a,34,1,3,6,1,6,Castagno,FALSE,0.00,0.01,28,200,18.67,0.00,,
Capistrano,10a,34,1,4,8,1,8,Castagno,FALSE,0.01,0.02,28,200,14.00,0.00,,
